date,stage_max_amplitude,stage_max_mean,snow_coverage_station_amplitude,snow_height_mean,snow_height_amplitude,water_hazard_sum,1_day,2_day,3_day,4_day,5_day,6_day,7_day
2000-04-01,1.0,7.2,0.0,47.3125,4.0,0,8.0,9.0,9.0,9.0,9.0,9.0,9.0
2000-04-02,1.0,7.4,0.0,47.21875,4.0,0,9.0,9.0,9.0,9.0,9.0,9.0,11.0
2000-04-03,2.0,7.8,0.0,47.34375,4.0,0,9.0,9.0,9.0,9.0,9.0,11.0,11.0
2000-04-04,2.0,8.2,0.0,47.40625,4.0,0,9.0,9.0,9.0,9.0,11.0,11.0,11.0
2000-04-05,2.0,8.6,0.0,47.28125,4.0,0,9.0,9.0,9.0,11.0,11.0,11.0,11.0
2000-04-06,2.0,8.8,0.0,47.03125,4.5,0,9.0,9.0,11.0,11.0,11.0,11.0,13.0
2000-04-07,2.0,9.0,0.0,46.8125,4.5,0,9.0,11.0,11.0,11.0,11.0,13.0,13.0
2000-04-08,1.0,9.0,0.0,46.71875,4.5,0,11.0,11.0,11.0,11.0,13.0,13.0,15.0
2000-04-09,3.0,9.4,0.0,46.59375,4.5,0,11.0,11.0,11.0,13.0,13.0,15.0,16.0
2000-04-10,2.0,9.8,0.0,46.375,4.5,0,11.0,11.0,13.0,13.0,15.0,16.0,18.0
2000-04-11,2.0,10.2,0.0,46.125,6.5,2,11.0,13.0,13.0,15.0,16.0,18.0,22.0
2000-04-12,2.0,10.6,0.0,45.875,6.5,4,13.0,13.0,15.0,16.0,18.0,22.0,27.0
2000-04-13,4.0,11.4,0.0,45.5,10.0,6,13.0,15.0,16.0,18.0,22.0,27.0,36.0
2000-04-14,4.0,11.8,0.0,44.8125,15.0,6,15.0,16.0,18.0,22.0,27.0,36.0,43.0
2000-04-15,6.0,12.6,0.0,43.75,20.5,6,16.0,18.0,22.0,27.0,36.0,43.0,45.0
2000-04-16,5.0,13.6,0.0,42.34375,26.5,6,18.0,22.0,27.0,36.0,43.0,45.0,47.0
2000-04-17,7.0,15.0,0.5,40.6875,30.5,6,22.0,27.0,36.0,43.0,45.0,47.0,54.0
2000-04-18,11.0,16.8,1.5,38.65625,36.0,6,27.0,36.0,43.0,45.0,47.0,54.0,60.0
2000-04-19,16.0,19.6,2.5,36.15625,40.0,5,36.0,43.0,45.0,47.0,54.0,60.0,68.0
2000-04-20,23.0,23.8,3.0,33.65625,41.0,4,43.0,45.0,47.0,54.0,60.0,68.0,79.0
2000-04-21,30.0,29.2,4.0,31.1875,42.0,3,45.0,47.0,54.0,60.0,68.0,79.0,87.0
2000-04-22,30.0,34.6,4.0,28.84375,42.0,3,47.0,54.0,60.0,68.0,79.0,87.0,103.0
2000-04-23,31.0,39.6,4.5,26.375,44.0,3,54.0,60.0,68.0,79.0,87.0,103.0,126.0
2000-04-24,36.0,45.0,4.5,23.6875,45.0,3,60.0,68.0,79.0,87.0,103.0,126.0,192.0
2000-04-25,38.0,49.8,9.0,20.84375,46.0,3,68.0,79.0,87.0,103.0,126.0,192.0,291.0
2000-04-26,41.0,54.8,9.0,17.96875,46.5,3,79.0,87.0,103.0,126.0,192.0,291.0,376.0
2000-04-27,43.0,61.6,9.5,15.28125,46.5,3,87.0,103.0,126.0,192.0,291.0,376.0,306.0
2000-04-28,44.0,69.6,9.5,12.59375,46.5,3,103.0,126.0,192.0,291.0,376.0,306.0,289.0
2000-04-29,58.0,79.4,9.5,10.125,46.5,3,126.0,192.0,291.0,376.0,306.0,289.0,256.0
2000-04-30,79.0,92.6,9.5,7.96875,46.0,3,192.0,291.0,376.0,306.0,289.0,256.0,251.0
2000-05-01,138.0,117.4,9.5,6.15625,43.0,6,291.0,376.0,306.0,289.0,256.0,251.0,269.0
2000-05-02,231.0,159.8,9.5,4.71875,43.0,10,376.0,306.0,289.0,256.0,251.0,269.0,281.0
2000-05-03,308.0,217.6,9.5,3.53125,39.5,13,306.0,289.0,256.0,251.0,269.0,281.0,309.0
2000-05-04,297.0,258.2,9.5,2.6875,34.5,12,289.0,256.0,251.0,269.0,281.0,309.0,336.0
2000-05-05,289.0,290.8,9.5,2.09375,29.0,10,256.0,251.0,269.0,281.0,309.0,336.0,361.0
2000-05-06,273.0,303.6,9.5,1.5625,23.0,10,251.0,269.0,281.0,309.0,336.0,361.0,369.0
2000-05-07,250.0,295.6,9.5,1.09375,19.0,8,269.0,281.0,309.0,336.0,361.0,369.0,366.0
2000-05-08,184.0,274.2,9.5,0.625,13.5,6,281.0,309.0,336.0,361.0,369.0,366.0,362.0
2000-05-09,125.0,269.2,9.5,0.28125,9.5,3,309.0,336.0,361.0,369.0,366.0,362.0,381.0
2000-05-10,125.0,273.2,9.5,0.0625,8.5,3,336.0,361.0,369.0,366.0,362.0,381.0,394.0
2000-05-11,85.0,289.2,9.5,0.0,7.5,3,361.0,369.0,366.0,362.0,381.0,394.0,394.0
2000-05-12,110.0,311.2,10.0,0.0,7.5,3,369.0,366.0,362.0,381.0,394.0,394.0,381.0
2000-05-13,118.0,331.2,10.0,0.0,5.5,3,366.0,362.0,381.0,394.0,394.0,381.0,363.0
2000-05-14,118.0,348.2,10.0,0.0,3.5,3,362.0,381.0,394.0,394.0,381.0,363.0,351.0
2000-05-15,100.0,358.8,10.0,0.0,1.0,3,381.0,394.0,394.0,381.0,363.0,351.0,354.0
2000-05-16,100.0,367.8,10.0,0.0,0.0,3,394.0,394.0,381.0,363.0,351.0,354.0,362.0
2000-05-17,85.0,374.4,10.0,0.0,0.0,3,394.0,381.0,363.0,351.0,354.0,362.0,386.0
2000-05-18,58.0,379.4,10.0,0.0,0.0,3,381.0,363.0,351.0,354.0,362.0,386.0,400.0
2000-05-19,33.0,382.4,10.0,0.0,0.0,3,363.0,351.0,354.0,362.0,386.0,400.0,405.0
2000-05-20,32.0,382.6,10.0,0.0,0.0,3,351.0,354.0,362.0,386.0,400.0,405.0,381.0
2000-05-21,43.0,376.6,10.0,0.0,0.0,3,354.0,362.0,386.0,400.0,405.0,381.0,346.0
2000-05-22,43.0,368.6,10.0,0.0,0.0,3,362.0,386.0,400.0,405.0,381.0,346.0,326.0
2000-05-23,43.0,362.2,10.0,0.0,0.0,3,386.0,400.0,405.0,381.0,346.0,326.0,306.0
2000-05-24,43.0,363.2,10.0,0.0,0.0,3,400.0,405.0,381.0,346.0,326.0,306.0,296.0
2000-05-25,49.0,370.6,5.0,0.0,0.0,3,405.0,381.0,346.0,326.0,306.0,296.0,306.0
2000-05-26,54.0,381.4,5.0,0.0,0.0,3,381.0,346.0,326.0,306.0,296.0,306.0,311.0
2000-05-27,54.0,386.8,5.0,0.0,0.0,3,346.0,326.0,306.0,296.0,306.0,311.0,326.0
2000-05-28,59.0,383.6,5.0,0.0,0.0,3,326.0,306.0,296.0,306.0,311.0,326.0,351.0
2000-05-29,79.0,371.6,5.0,0.0,0.0,3,306.0,296.0,306.0,311.0,326.0,351.0,371.0
2000-05-30,99.0,352.8,5.0,0.0,0.0,3,296.0,306.0,311.0,326.0,351.0,371.0,390.0
2000-05-31,109.0,331.0,5.0,0.0,0.0,3,306.0,311.0,326.0,351.0,371.0,390.0,397.0
2000-06-01,109.0,316.0,5.0,0.0,0.0,3,311.0,326.0,351.0,371.0,390.0,397.0,400.0
2000-06-02,109.0,309.0,5.0,0.0,0.0,3,326.0,351.0,371.0,390.0,397.0,400.0,400.0
2000-06-03,85.0,309.0,5.0,0.0,0.0,3,351.0,371.0,390.0,397.0,400.0,400.0,386.0
2000-06-04,55.0,318.0,5.208480784507105,-0.012492156525112015,0.19987450440179225,3,371.0,390.0,397.0,400.0,400.0,386.0,366.0
2000-06-05,75.0,333.0,5.296835788347867,-0.03770723982091548,0.4034413327328554,3,390.0,397.0,400.0,400.0,386.0,366.0,366.0
2000-06-06,94.0,349.8,5.296835788347867,-0.06174426750793224,0.4034413327328554,3,397.0,400.0,400.0,386.0,366.0,366.0,366.0
2000-06-07,101.0,367.0,4.854091011619154,-0.0730992788528007,0.4034413327328554,3,400.0,400.0,386.0,366.0,366.0,366.0,349.0
2000-06-08,94.0,381.8,4.854091011619154,-0.07192652587128091,0.4222053804371719,3,400.0,386.0,366.0,366.0,366.0,349.0,393.0
2000-06-09,89.0,391.6,3.854091011619154,-0.0709941162201026,0.4222053804371719,3,386.0,366.0,366.0,366.0,349.0,393.0,286.0
2000-06-10,74.0,394.6,2.3939151712572357,-0.08032281234970828,0.4222053804371719,3,366.0,366.0,366.0,349.0,393.0,286.0,236.0
2000-06-11,49.0,389.8,0.4094930176210112,-0.10324744183510806,0.4222053804371719,3,366.0,366.0,349.0,393.0,286.0,236.0,221.0
2000-06-12,34.0,383.6,0.4183178332320012,-0.13732596786976037,0.5640204642587534,3,366.0,349.0,393.0,286.0,236.0,221.0,213.0
2000-06-13,34.0,376.8,0.4834754479647558,-0.1765404732403881,0.6461961336343602,3,349.0,393.0,286.0,236.0,221.0,213.0,203.0
2000-06-14,51.0,366.6,0.4834754479647558,-0.21880490444348197,0.6949949469538184,3,393.0,286.0,236.0,221.0,213.0,203.0,193.0
2000-06-15,51.0,368.0,0.4834754479647558,-0.2644555947066342,0.749175091914752,3,286.0,236.0,221.0,213.0,203.0,193.0,183.0
2000-06-16,114.0,352.0,0.4834754479647558,-0.26445559470663416,0.749175091914752,3,236.0,221.0,213.0,203.0,193.0,183.0,168.0
2000-06-17,157.0,326.0,0.4834754479647558,-0.26445559470663416,0.749175091914752,3,221.0,213.0,203.0,193.0,183.0,168.0,153.0
2000-06-18,172.0,297.0,0.4834754479647558,-0.26445559470663416,0.749175091914752,3,213.0,203.0,193.0,183.0,168.0,153.0,128.0
2000-06-19,180.0,269.8,0.4834754479647558,-0.2644555947066342,0.749175091914752,3,203.0,193.0,183.0,168.0,153.0,128.0,113.0
2000-06-20,190.0,231.8,0.4834754479647558,-0.2519634381815221,0.749175091914752,3,193.0,183.0,168.0,153.0,128.0,113.0,98.0
2000-06-21,200.0,213.2,0.4834754479647558,-0.2267483548857187,0.749175091914752,3,183.0,168.0,153.0,128.0,113.0,98.0,90.0
2000-06-22,210.0,202.6,0.4834754479647558,-0.2027113271987019,0.749175091914752,3,168.0,153.0,128.0,113.0,98.0,90.0,90.0
2000-06-23,118.0,192.0,0.4834754479647558,-0.19135631585383348,0.749175091914752,3,153.0,128.0,113.0,98.0,90.0,90.0,85.0
2000-06-24,83.0,180.0,0.4834754479647558,-0.19252906883535326,0.749175091914752,3,128.0,113.0,98.0,90.0,90.0,85.0,80.0
2000-06-25,93.0,165.0,0.4834754479647558,-0.19346147848653159,0.749175091914752,3,113.0,98.0,90.0,90.0,85.0,80.0,75.0
2000-06-26,100.0,149.0,0.4834754479647558,-0.18413278235692587,0.749175091914752,3,98.0,90.0,90.0,85.0,80.0,75.0,65.0
2000-06-27,105.0,132.0,0.4834754479647558,-0.16120815287152612,0.749175091914752,3,90.0,90.0,85.0,80.0,75.0,65.0,57.0
2000-06-28,103.0,116.4,0.4834754479647558,-0.12712962683687382,0.749175091914752,3,90.0,85.0,80.0,75.0,65.0,57.0,52.0
2000-06-29,93.0,103.8,0.4834754479647558,-0.08791512146624608,0.7453295986292886,3,85.0,80.0,75.0,65.0,57.0,52.0,52.0
2000-06-30,83.0,95.2,0.4834754479647558,-0.045650690263152216,0.7304110442104355,3,80.0,75.0,65.0,57.0,52.0,52.0,42.0
2000-07-01,73.0,88.6,0.4834754479647558,0.0,0.7304110442104355,3,75.0,65.0,57.0,52.0,52.0,42.0,48.0
2000-07-02,53.0,84.0,0.4834754479647558,0.0,0.7304110442104355,3,65.0,57.0,52.0,52.0,42.0,48.0,57.0
2000-07-03,48.0,79.0,0.4834754479647558,0.0,0.7304110442104355,3,57.0,52.0,52.0,42.0,48.0,57.0,75.0
2000-07-04,41.0,72.4,0.4834754479647558,0.0,0.7304110442104355,3,52.0,52.0,42.0,48.0,57.0,75.0,143.0
2000-07-05,38.0,65.8,0.4834754479647558,0.0,0.7304110442104355,3,52.0,42.0,48.0,57.0,75.0,143.0,186.0
2000-07-06,38.0,60.2,0.4834754479647558,0.0,0.0,3,42.0,48.0,57.0,75.0,143.0,186.0,199.0
2000-07-07,43.0,53.6,0.4834754479647558,0.0,0.0,3,48.0,57.0,75.0,143.0,186.0,199.0,203.0
2000-07-08,38.0,50.2,0.4834754479647558,0.0,0.0,3,57.0,75.0,143.0,186.0,199.0,203.0,173.0
2000-07-09,33.0,50.2,0.4834754479647558,0.0,0.0,3,75.0,143.0,186.0,199.0,203.0,173.0,153.0
2000-07-10,33.0,54.8,0.4834754479647558,0.0,0.0,3,143.0,186.0,199.0,203.0,173.0,153.0,133.0
2000-07-11,101.0,73.0,0.4834754479647558,0.0,0.0,3,186.0,199.0,203.0,173.0,153.0,133.0,120.0
2000-07-12,144.0,101.8,0.4834754479647558,0.0,0.0,3,199.0,203.0,173.0,153.0,133.0,120.0,103.0
2000-07-13,157.0,132.0,0.4834754479647558,0.0,0.0,3,203.0,173.0,153.0,133.0,120.0,103.0,95.0
2000-07-14,161.0,161.2,0.4564002415004538,0.0,0.0,3,173.0,153.0,133.0,120.0,103.0,95.0,90.0
2000-07-15,155.0,180.8,0.4564002415004538,0.0,0.0,3,153.0,133.0,120.0,103.0,95.0,90.0,85.0
2000-07-16,146.0,182.8,0.0,0.0,0.0,3,133.0,120.0,103.0,95.0,90.0,85.0,79.0
2000-07-17,128.0,172.2,0.0,0.0,0.0,3,120.0,103.0,95.0,90.0,85.0,79.0,71.0
2000-07-18,83.0,156.4,0.0,0.0,0.0,3,103.0,95.0,90.0,85.0,79.0,71.0,65.0
2000-07-19,100.0,136.4,0.0,0.0,0.0,3,95.0,90.0,85.0,79.0,71.0,65.0,52.0
2000-07-20,108.0,120.8,0.0,0.0,0.0,3,90.0,85.0,79.0,71.0,65.0,52.0,52.0
2000-07-21,113.0,108.2,0.0,0.0,0.0,3,85.0,79.0,71.0,65.0,52.0,52.0,50.0
2000-07-22,88.0,98.6,0.0,0.0,0.0,3,79.0,71.0,65.0,52.0,52.0,50.0,70.0
2000-07-23,74.0,90.4,0.0,0.0,0.0,3,71.0,65.0,52.0,52.0,50.0,70.0,80.0
2000-07-24,62.0,84.0,0.0,0.0,0.0,3,65.0,52.0,52.0,50.0,70.0,80.0,80.0
2000-07-25,55.0,78.0,0.0,0.0,0.0,3,52.0,52.0,50.0,70.0,80.0,80.0,80.0
2000-07-26,51.0,70.4,0.0,0.0,0.0,3,52.0,50.0,70.0,80.0,80.0,80.0,80.0
2000-07-27,43.0,63.8,0.0,0.0,0.0,3,50.0,70.0,80.0,80.0,80.0,80.0,78.0
2000-07-28,40.0,58.0,0.0,0.0,0.0,3,70.0,80.0,80.0,80.0,80.0,78.0,74.0
2000-07-29,35.0,57.8,0.0,0.0,0.0,3,80.0,80.0,80.0,80.0,78.0,74.0,77.0
2000-07-30,30.0,60.8,0.0,0.0,0.0,3,80.0,80.0,80.0,78.0,74.0,77.0,77.0
2000-07-31,30.0,66.4,0.0,0.0,0.0,3,80.0,80.0,78.0,74.0,77.0,77.0,87.0
2000-08-01,30.0,72.0,0.0,0.0,0.0,3,80.0,78.0,74.0,77.0,77.0,87.0,85.0
2000-08-02,30.0,78.0,0.0,0.0,0.0,3,78.0,74.0,77.0,77.0,87.0,85.0,82.0
2000-08-03,30.0,79.6,0.0,0.0,0.0,3,74.0,77.0,77.0,87.0,85.0,82.0,80.0
2000-08-04,30.0,78.4,0.0,0.0,0.0,3,77.0,77.0,87.0,85.0,82.0,80.0,78.0
2000-08-05,10.0,77.8,0.0,0.0,0.0,3,77.0,87.0,85.0,82.0,80.0,78.0,73.0
2000-08-06,6.0,77.2,0.0,0.0,0.0,3,87.0,85.0,82.0,80.0,78.0,73.0,65.0
2000-08-07,13.0,78.6,0.0,0.0,0.0,3,85.0,82.0,80.0,78.0,73.0,65.0,52.0
2000-08-08,13.0,80.0,0.0,0.0,0.0,3,82.0,80.0,78.0,73.0,65.0,52.0,52.0
2000-08-09,13.0,81.6,0.0,0.0,0.0,3,80.0,78.0,73.0,65.0,52.0,52.0,85.0
2000-08-10,13.0,82.2,0.0,0.0,0.0,3,78.0,73.0,65.0,52.0,52.0,85.0,115.0
2000-08-11,13.0,82.4,0.0,0.0,0.0,3,73.0,65.0,52.0,52.0,85.0,115.0,150.0
2000-08-12,14.0,79.6,0.0,0.0,0.0,3,65.0,52.0,52.0,85.0,115.0,150.0,168.0
2000-08-13,22.0,75.6,0.0,0.0,0.0,3,52.0,52.0,85.0,115.0,150.0,168.0,171.0
2000-08-14,35.0,69.6,0.0,0.0,0.0,3,52.0,85.0,115.0,150.0,168.0,171.0,168.0
2000-08-15,33.0,64.0,0.0,0.0,0.0,3,85.0,115.0,150.0,168.0,171.0,168.0,158.0
2000-08-16,33.0,65.4,0.0,0.0,0.0,3,115.0,150.0,168.0,171.0,168.0,158.0,148.0
2000-08-17,63.0,73.8,0.0,0.0,0.0,3,150.0,168.0,171.0,168.0,158.0,148.0,138.0
2000-08-18,98.0,90.8,0.0,0.0,0.0,3,168.0,171.0,168.0,158.0,148.0,138.0,125.0
